week	min_temp	max_temp	rainfall_in	humidity	acidity	sunlight_exposure	elevation	experience	size_of_farm	technique	pests	natural_disaster_occurance	disease	success
17	104	113	42.47	46.66	12.64	14.79	4739.6153889369	8	12.08	hand	low	true	false	false
10	56	75	29.29	49.14	8.35	13.06	4918.4900505921	9	15.32	hand	low	true	true	true
41	87	95	33.11	35.51	7.14	15.01	1698.4371753757	14	23.91	machines	low	false	true	true
38	58	74	32.97	36.23	8.12	8.75	3499.2747973597	11	22.23	hand	low	false	false	false
14	63	63	36.31	29.78	10.29	11.32	3099.1942939359	14	19.17	machines	low	true	true	true
9	0	9	33.64	38.25	9.0	9.06	2629.1167876151	10	23.84	hand	low	true	true	true
24	50	50	35.15	70.24	11.46	10.78	441.9647523011	10	20.41	machines	high	false	true	false
33	35	42	37.31	71.46	12.48	15.0	3137.3517665801	10	15.39	hand	high	true	false	true
42	14	32	41.94	58.28	11.32	8.83	2846.1263967274	10	14.47	hand	moderate	true	true	true
38	72	79	43.0	40.7	8.33	20.88	16659.3334877098	11	17.73	hand	low	true	true	true
37	-13	6	43.83	51.31	11.52	18.4	12762.9132467233	11	15.43	hand	moderate	true	false	true
45	23	27	40.68	30.95	6.58	9.99	1396.8370666869	8	24.69	hand	low	true	true	false
9	91	101	36.01	27.48	10.84	11.43	8951.4189785832	9	14.88	machines	high	false	false	true
1	48	63	34.63	41.39	5.95	13.08	2542.3674541994	2	19.23	machines	high	true	false	false
47	96	97	34.36	54.67	11.74	14.45	24897.5178882849	4	16.65	hand	high	true	false	true
47	102	107	43.57	56.25	7.22	15.74	2215.996940744	10	20.11	hand	high	false	true	false
37	41	51	35.53	55.46	12.12	18.84	5553.0885185352	6	8.24	machines	high	true	true	true
50	29	36	34.92	87.66	10.89	10.89	68.2039015776	14	23.68	machines	moderate	false	false	true
51	-7	6	37.08	26.74	9.58	14.02	3856.9008154393	6	14.99	machines	moderate	false	false	false
51	44	56	36.19	79.43	13.18	7.94	3657.0720679358	9	19.22	machines	moderate	false	true	false
10	4	8	29.79	52.47	11.31	15.53	10885.0034664012	13	30.97	hand	moderate	true	false	false
26	105	106	41.95	56.87	9.14	16.84	1502.6696734537	10	21.95	hand	moderate	true	true	false
33	31	50	40.82	61.52	12.95	10.08	8797.1922397775	5	21.24	hand	high	true	false	true
44	11	13	32.73	24.2	7.55	9.08	4018.7904938099	11	14.49	hand	high	false	false	true
24	19	33	34.78	60.39	9.41	17.99	14248.2784004986	8	17.29	machines	moderate	false	true	false
4	65	77	43.52	28.63	9.16	17.86	2581.6560666127	11	15.7	hand	low	false	true	true
30	49	59	43.75	62.82	8.89	15.63	5551.1630118829	10	27.94	machines	moderate	true	false	false
21	1	6	37.04	37.61	8.88	16.44	16125.1071729122	9	19.27	hand	high	true	true	true
41	90	95	35.96	22.92	9.75	13.92	5338.5793915546	17	24.91	machines	low	false	true	true
45	36	46	33.94	37.57	10.34	16.72	1913.1608826497	13	22.98	machines	high	true	true	false
19	-20	-12	42.47	53.35	10.81	5.86	1016.4694985302	9	10.29	hand	moderate	false	true	false
40	85	95	37.23	36.41	7.72	3.0	902.9862042756	14	15.47	hand	moderate	false	true	false
25	65	80	36.78	46.52	12.73	8.44	9406.0805426893	12	13.62	hand	moderate	false	false	true
24	-8	-4	24.76	66.51	11.55	18.35	89.0424606025	10	16.89	hand	moderate	false	false	false
35	-16	-3	37.45	73.26	5.83	9.89	589.7102395528	11	21.07	hand	high	false	true	false
45	-20	-3	40.09	57.41	6.69	13.29	2265.0664436174	8	22.86	machines	high	false	true	false
50	36	53	34.84	31.63	8.63	15.02	914.4715056429	14	21.07	machines	low	true	true	true
1	1	20	45.41	44.56	8.8	10.62	6224.6252889335	6	26.88	machines	low	false	true	false
10	72	87	31.29	58.11	12.85	12.29	3037.0403983755	10	26.5	hand	low	true	true	true
1	75	77	31.43	50.77	12.37	13.24	862.5497102482	5	26.98	hand	moderate	false	true	true
44	60	60	38.65	30.33	4.42	10.8	3572.8016921409	15	20.73	hand	high	true	true	false
24	27	40	35.96	50.42	10.88	12.33	1803.380807936	10	20.77	hand	high	false	false	true
22	29	37	39.07	44.94	11.05	8.09	2032.2632980517	10	22.26	machines	high	true	true	true
32	62	77	36.75	31.35	10.34	16.13	13523.7989188377	10	20.74	machines	low	true	true	true
24	102	117	35.99	41.3	10.53	16.19	32.8185793954	9	20.56	machines	low	true	false	true
40	68	69	41.4	21.01	13.67	9.6	861.1628407382	9	14.53	hand	low	true	true	false
15	63	65	40.84	43.28	9.13	14.17	926.7040090268	15	17.38	hand	high	false	true	false
42	95	95	35.18	64.35	8.47	16.01	4234.1914976787	15	22.32	machines	high	false	true	true
5	39	52	39.43	23.31	12.36	6.19	545.4901239425	9	12.09	hand	high	false	true	true
12	87	98	37.48	49.61	6.86	15.38	4942.6936865078	8	30.16	hand	moderate	false	false	false
32	-4	6	36.01	61.76	9.26	15.93	4048.5091285486	12	28.32	machines	moderate	false	false	true
12	62	62	33.82	35.72	7.25	7.29	4918.3291425368	14	16.8	machines	high	true	false	true
13	68	86	39.58	61.46	7.6	11.12	2890.4848992253	11	17.02	machines	high	false	false	false
41	-6	2	30.3	50.87	10.12	12.78	2529.1014705131	8	27.97	machines	high	false	false	true
42	60	76	40.66	26.99	12.76	9.32	660.9386225019	10	25.13	machines	moderate	true	true	false
11	10	13	29.9	79.45	6.98	16.76	732.356513924	13	25.82	machines	low	true	true	false
7	57	68	30.2	23.08	11.18	9.79	3181.1092791381	10	14.15	machines	moderate	false	true	true
6	53	59	37.39	62.31	8.94	13.06	9374.8067873618	17	27.97	hand	high	true	true	false
37	-10	4	36.52	52.4	6.52	11.66	6319.7745349258	6	19.8	machines	moderate	true	false	false
34	-16	-12	35.03	42.86	11.39	15.59	8342.8433661119	18	28.43	machines	high	true	true	true
50	22	22	41.4	45.5	8.71	7.8	22076.7686085343	7	15.95	machines	low	false	false	false
28	57	70	41.39	49.56	9.09	11.06	21843.717918641	4	17.6	machines	moderate	false	true	false
36	3	4	36.33	47.74	7.74	8.34	5914.3965332741	6	17.51	hand	moderate	false	true	true
10	21	32	44.12	56.5	9.71	16.1	2763.4869304128	5	21.52	hand	low	false	true	true
8	-16	-1	30.74	28.12	8.91	11.85	1634.2050404406	7	21.09	hand	high	true	false	false
24	107	107	34.15	43.12	9.46	17.0	4155.834181005	14	16.83	machines	moderate	true	false	true
40	63	63	35.09	51.21	10.55	7.63	1623.9535778451	7	19.2	machines	high	true	false	true
25	99	117	36.99	46.17	10.56	15.59	3912.5695984501	10	21.12	hand	low	false	false	false
45	67	85	36.63	29.0	10.06	10.66	684.8715140903	12	21.2	hand	moderate	true	false	false
2	12	22	28.89	27.59	7.08	7.87	21158.0064864973	11	22.52	machines	low	true	true	true
45	87	104	37.05	77.63	8.44	11.05	1869.6064208033	11	17.93	machines	moderate	false	true	true
39	61	67	29.7	50.63	12.04	10.99	13029.5954525838	12	13.51	machines	low	true	true	false
1	21	34	29.65	33.85	8.99	7.76	4490.6266175063	8	13.46	machines	moderate	true	false	false
16	52	53	37.57	62.42	6.86	10.1	2947.4677788999	7	17.05	machines	high	false	true	false
13	72	83	32.16	46.97	12.76	14.68	1189.4614317726	5	12.29	machines	moderate	true	false	false
29	59	67	29.77	9.29	12.31	9.5	2480.1614569987	9	19.58	machines	moderate	false	false	false
32	100	109	55.13	54.21	7.79	8.26	3200.7918652689	9	19.74	machines	moderate	false	false	false
13	58	61	32.07	54.52	11.57	8.8	1011.6413344403	14	23.65	machines	low	false	true	true
37	75	82	38.37	67.59	6.82	9.58	1221.6393891707	9	21.48	machines	moderate	true	false	false
48	-5	13	33.73	73.34	13.69	9.41	1374.4811329767	8	18.84	machines	low	false	true	false
28	58	66	36.84	48.8	8.1	15.11	2011.4243764979	8	14.55	machines	high	false	false	false
32	73	82	34.65	28.27	10.06	14.16	5314.8768689877	9	21.3	hand	moderate	true	false	true
38	31	50	41.37	60.42	11.32	10.25	1830.698146818	12	21.66	machines	high	true	true	true
11	49	51	38.11	26.94	10.01	9.43	3139.3643841683	7	24.87	machines	high	true	false	false
27	18	21	40.56	70.47	11.21	12.77	1268.1820058439	12	13.84	hand	low	true	false	false
35	-13	-9	31.14	52.35	9.63	14.43	2565.6894443308	6	23.49	machines	moderate	true	false	false
46	54	59	30.94	53.4	9.26	7.22	8166.7639826528	12	26.28	machines	low	false	true	false
9	86	95	41.07	43.92	10.81	7.99	1451.3850986043	9	16.66	machines	moderate	false	true	true
39	61	68	35.05	50.68	9.27	16.11	5862.5979533484	9	18.62	hand	low	true	true	false
52	-6	11	29.62	54.8	12.17	14.36	2564.2948941949	6	19.98	hand	high	false	true	false
29	22	23	34.77	55.52	11.64	8.87	12564.0694242848	16	18.38	machines	moderate	false	true	true
43	67	81	28.89	31.99	6.68	12.28	211.3840660808	17	18.85	machines	high	true	true	true
48	59	79	34.09	44.09	7.85	11.97	283.6405787373	9	16.69	hand	low	true	true	true
40	86	94	30.83	54.97	10.02	7.36	292.0779942917	12	14.72	hand	low	false	false	false
20	-20	-16	30.09	43.04	12.63	14.67	337.361859325	13	16.62	hand	high	false	true	true
16	85	100	43.54	28.17	11.67	8.79	2823.724121131	6	13.73	hand	low	true	false	true
23	33	40	35.36	16.08	6.07	17.89	5052.2792243327	17	23.7	machines	low	false	false	true
49	-11	-11	37.67	27.58	13.54	15.33	877.0317403211	9	18.23	machines	moderate	false	true	false
7	93	98	41.27	68.54	8.89	13.2	3548.0101962876	18	24.11	hand	moderate	true	false	false
15	36	47	32.41	39.8	12.25	15.43	3820.1796518812	8	20.13	machines	high	true	true	false
14	60	75	27.59	70.22	11.78	16.08	13006.1411924033	14	27.06	machines	low	true	true	true
21	23	32	43.95	53.34	9.43	12.33	1585.6840060293	11	22.82	hand	high	false	false	true
18	18	32	37.77	74.36	9.1	12.28	20220.0206389881	4	22.38	hand	moderate	false	false	true
32	79	94	43.6	18.97	10.65	14.95	11848.8142642518	6	20.26	machines	moderate	true	false	false
17	92	105	41.85	47.15	12.85	14.38	6074.6572878776	10	10.32	hand	high	true	true	true
51	47	62	33.93	40.29	8.81	16.73	6345.9558423265	8	25.33	hand	moderate	true	true	true
44	-9	1	33.76	33.44	11.14	4.81	2881.8671927646	9	13.76	hand	moderate	true	true	false
3	-2	5	33.32	22.34	10.83	9.34	827.909772712	13	18.58	hand	high	true	false	true
3	43	43	33.78	68.36	7.31	1.28	196.8815594412	5	13.46	machines	low	true	true	true
21	98	113	46.99	43.13	8.33	12.15	3303.1187017374	13	23.05	hand	high	false	false	true
6	41	55	41.35	28.55	8.28	5.29	2119.9391548162	10	27.79	machines	moderate	false	true	false
45	28	47	37.05	27.19	12.08	9.83	192.6254838663	13	12.1	machines	moderate	true	true	false
45	15	20	31.61	90.73	10.94	9.57	2459.260556249	12	13.21	machines	moderate	true	false	true
39	86	90	41.11	41.04	9.93	8.4	230.8482111546	10	15.11	hand	high	false	true	false
20	18	26	46.15	50.21	6.6	10.52	2677.8068961137	10	18.67	hand	moderate	false	false	true
37	81	96	33.88	62.62	11.09	10.09	1166.2131684413	6	16.37	machines	low	false	false	true
43	78	79	27.51	58.34	7.87	14.17	4135.8319972038	16	18.39	machines	low	false	true	true
27	48	54	40.05	34.28	9.88	9.15	4831.4864205537	5	19.41	machines	moderate	false	true	false
17	96	115	39.83	45.22	7.47	13.15	8755.8129633518	10	24.05	machines	moderate	true	true	true
37	34	42	37.19	65.38	7.74	7.44	2316.1034535744	13	19.86	machines	moderate	true	false	false
16	11	25	32.14	41.67	9.97	8.91	1576.3623396742	10	21.46	machines	low	false	false	false
51	81	91	44.92	62.88	12.34	17.91	2014.3895167295	6	15.79	hand	low	true	false	true
13	105	113	36.53	33.89	15.73	12.33	4023.9133411791	12	16.16	hand	high	true	true	false
41	92	101	35.91	64.97	8.8	7.3	1689.7456009805	7	34.85	hand	low	false	true	false
44	29	39	37.4	60.63	12.21	17.67	805.7769753699	8	26.44	hand	high	false	false	true
31	-7	-7	38.0	54.42	9.66	10.55	10093.8200891082	10	25.27	machines	high	false	true	true
39	66	74	35.23	49.14	12.54	10.4	1716.4979673641	10	18.33	hand	moderate	false	false	false
43	60	64	35.29	60.27	7.94	7.35	382.0962636818	7	20.56	machines	low	false	true	false
42	-2	14	37.24	14.85	8.83	19.3	6022.5422126308	10	19.98	machines	low	true	false	true
40	36	44	36.74	51.34	8.54	10.02	1506.0016645698	9	22.85	hand	low	false	true	false
24	38	43	38.08	16.31	10.11	12.22	4831.968717822	6	16.51	hand	moderate	false	false	false
6	46	55	44.46	51.07	9.88	23.1	5002.2342273814	10	15.07	hand	low	false	false	false
46	96	111	48.13	55.44	10.78	12.63	2991.3013276582	10	34.02	machines	high	true	true	false
22	-2	1	32.83	55.18	8.31	14.41	3719.0208242913	8	13.61	hand	high	false	true	false
26	68	83	28.84	31.65	8.9	13.41	77.5642346058	7	7.48	machines	moderate	true	true	true
7	107	110	30.87	51.13	8.5	13.22	1988.5214194112	8	29.51	machines	low	false	true	true
26	39	50	32.67	88.53	10.58	5.07	6359.1807349678	9	16.73	machines	moderate	false	false	false
11	52	63	34.83	21.96	8.7	9.96	21493.3963929697	11	5.24	hand	low	false	true	true
18	32	46	35.19	64.65	9.2	9.05	3534.946671213	7	18.16	machines	moderate	true	true	true
15	15	20	40.76	55.52	6.41	11.86	855.215709576	10	14.57	hand	moderate	false	true	false
9	100	100	34.12	43.9	7.32	15.52	5442.3265836117	9	24.19	hand	high	false	true	false
37	15	34	32.04	49.3	10.12	11.91	1181.3420036838	12	24.41	machines	low	false	true	false
39	109	109	32.32	66.23	10.57	10.26	7862.4435778639	11	21.93	machines	moderate	false	true	true
30	55	63	27.34	49.52	11.65	20.34	1190.9063450892	11	15.47	machines	high	false	false	true
1	78	89	43.57	59.8	9.92	11.02	4761.7171801189	11	15.74	hand	low	false	false	true
40	8	15	27.33	45.18	7.5	8.46	11993.1787856678	9	18.75	hand	moderate	false	false	true
22	5	17	35.29	53.43	13.24	8.99	319.6643798946	10	27.19	hand	low	true	false	true
22	62	63	38.47	47.95	10.34	11.15	1396.7088949769	10	24.21	hand	high	false	true	false
1	27	38	26.42	36.31	11.21	15.52	1252.3298239231	13	22.65	machines	low	false	true	true
22	62	63	34.57	62.52	7.4	11.74	13665.9813013045	9	12.19	machines	high	true	false	false
30	-11	-3	42.59	83.31	8.73	7.62	379.2551271036	17	21.38	machines	moderate	true	false	false
29	18	26	40.79	49.02	10.64	11.91	1976.8599216566	4	24.24	hand	high	true	true	false
33	8	24	37.08	47.58	10.06	9.1	2997.2374640595	17	18.76	machines	high	false	false	false
13	62	72	34.09	56.34	12.52	13.89	5637.5493241638	8	15.9	machines	low	false	true	false
12	13	22	31.43	40.57	9.51	12.48	2129.9839571631	7	18.14	hand	high	false	true	true
43	55	56	32.04	56.21	8.6	10.85	1162.4792386674	14	19.41	hand	moderate	false	false	false
10	82	100	43.48	42.74	13.14	12.15	3073.8780230992	11	23.27	hand	low	true	true	false
28	7	14	48.25	55.21	12.47	13.1	919.9651743956	8	17.54	machines	low	false	false	false
49	30	50	30.42	52.71	9.35	6.85	1040.2489982356	14	28.41	hand	high	true	false	true
7	76	84	43.42	63.51	8.47	12.57	1555.6872300827	8	18.75	hand	high	true	false	false
26	35	45	38.33	74.73	9.51	12.19	1285.8447461686	13	12.35	machines	moderate	true	false	false
37	-17	-5	34.1	46.62	11.04	13.94	739.9631346424	15	20.91	machines	low	true	false	true
7	84	94	49.56	43.85	9.78	16.58	3266.8561901909	10	17.9	machines	high	true	true	false
21	87	87	43.89	57.28	8.35	6.99	3679.8498669048	12	24.58	machines	low	true	false	false
1	11	13	44.3	27.77	3.79	12.49	10039.0000451031	10	19.77	hand	low	true	false	false
47	41	46	41.16	44.47	11.38	16.06	1958.4666174441	13	10.37	machines	low	false	true	true
6	99	112	40.35	50.69	4.7	10.55	196.2878531972	8	30.97	machines	low	true	false	false
44	40	44	35.14	59.0	9.13	6.69	6979.8378519104	6	18.2	hand	moderate	false	true	false
27	18	29	37.0	61.96	5.78	10.1	162.1456735238	12	19.24	hand	high	false	true	true
33	44	58	42.96	53.44	10.22	9.01	1735.7445835261	8	20.55	hand	moderate	false	true	false
40	88	89	42.39	67.51	8.24	13.04	3576.2878688748	4	22.78	machines	low	false	false	true
16	80	81	41.81	47.09	9.65	16.41	1927.903044702	13	15.61	hand	low	false	false	true
11	34	49	34.26	46.57	7.42	13.53	1852.1481455675	12	14.55	hand	high	false	false	true
17	-16	2	32.03	39.48	7.48	11.01	2083.639268577	8	16.65	machines	low	false	true	false
11	-7	2	38.51	52.49	9.73	6.4	5679.7071694203	5	25.22	machines	high	true	true	false
40	84	93	38.31	23.8	11.43	7.06	662.4620165481	6	19.63	machines	low	false	false	false
30	43	59	39.28	45.04	7.81	10.98	563.2572034703	11	21.24	hand	high	false	false	true
34	106	122	31.69	20.43	9.56	18.84	7139.8781846071	12	15.09	hand	high	false	true	true
37	27	39	41.87	57.4	10.43	9.29	3014.1094746068	8	26.99	hand	moderate	false	false	false
20	84	102	38.32	48.76	7.27	3.97	2195.5494969695	10	22.52	hand	low	false	false	false
41	60	67	41.45	27.21	10.31	10.05	5337.5475843175	14	24.13	hand	moderate	true	true	false
50	-10	-5	42.87	18.7	8.47	6.08	2312.2232775184	10	15.77	machines	low	true	false	true
1	45	62	37.93	69.27	13.8	19.33	6186.8650278636	13	27.58	hand	high	true	true	true
41	104	119	38.89	38.62	11.35	10.99	218.2262779754	10	20.87	hand	moderate	false	true	true
8	0	9	40.76	35.69	9.42	10.51	4916.4797728986	10	15.46	hand	moderate	true	false	true
48	46	54	22.42	56.47	9.89	17.96	2314.6503408821	5	16.56	machines	high	true	false	true
37	104	117	35.76	35.8	10.81	15.29	5631.9248602636	6	12.29	hand	moderate	false	false	true
33	46	66	47.59	53.21	9.37	9.83	10290.8963741007	9	15.31	hand	low	true	false	true
8	71	90	34.0	63.31	10.77	7.21	7081.0582847183	10	27.2	machines	high	true	true	true
6	13	31	38.47	13.26	8.64	6.01	2480.0726495375	9	11.67	hand	low	false	false	false
3	30	39	41.52	31.6	13.62	9.03	67.1286525052	5	21.13	machines	high	false	false	true
2	21	30	38.38	54.18	10.65	12.4	242.4017676609	11	22.19	hand	low	true	false	false
36	8	11	40.9	49.19	9.86	7.6	15632.7605934359	20	19.56	hand	low	false	true	true
40	24	43	29.4	30.26	11.38	18.07	324.2602731333	15	21.0	hand	low	true	true	false
46	101	118	34.6	67.37	11.64	9.59	6129.9614014113	16	16.65	machines	low	false	true	false
19	105	116	38.09	66.14	10.31	17.17	264.9372518953	9	22.06	machines	moderate	true	true	false
3	40	46	32.69	63.55	10.4	12.12	59.7901770722	13	23.69	hand	moderate	true	false	false
6	101	119	38.78	39.02	10.09	16.45	4802.3631581621	12	22.52	hand	high	true	false	true
42	91	95	39.49	65.89	10.71	11.65	5805.9806781814	11	20.42	hand	high	true	false	true
11	105	124	41.32	41.29	10.15	9.86	7093.2016440416	13	17.31	hand	low	true	false	false
15	-1	2	41.47	53.03	10.34	5.54	665.0580759893	5	17.22	hand	low	false	false	true
10	36	36	32.12	57.82	8.81	12.08	4072.3749390833	10	22.86	hand	low	true	false	false
36	67	86	35.9	8.8	8.11	12.62	2231.7658582984	14	13.08	hand	moderate	true	false	true
17	43	62	39.73	81.2	13.34	8.64	4153.0697452771	13	20.03	hand	high	false	true	false
5	3	5	38.12	54.33	15.1	16.41	4264.0539350624	11	21.78	hand	low	false	true	true
26	64	81	43.1	59.67	7.66	13.7	3631.26764497	14	24.01	hand	low	false	true	false
5	31	41	42.77	39.34	8.45	13.8	1532.3174062582	13	23.21	hand	moderate	false	true	true
51	58	67	39.68	61.21	10.8	14.11	4495.1165133329	10	18.77	hand	low	false	true	false
33	75	79	41.44	57.35	12.74	11.31	1396.2487531236	14	21.7	machines	moderate	true	false	false
13	49	69	29.84	39.02	11.23	19.96	2527.310165632	6	21.01	machines	high	false	true	false
24	23	35	55.34	71.5	7.59	3.78	6526.7108625422	16	13.95	machines	moderate	true	false	false
47	22	22	37.69	53.06	10.08	5.6	4499.6504633572	6	29.61	hand	low	true	true	false
41	26	37	35.78	24.85	9.91	17.37	25504.9980285153	9	31.41	machines	low	true	true	true
16	31	37	37.96	38.02	13.65	22.59	9020.5727045659	7	26.5	machines	moderate	false	true	false
25	66	67	36.93	35.33	10.07	11.65	1612.1504776262	12	13.64	hand	low	false	false	true
50	26	45	37.35	49.83	8.42	7.92	14018.8179501922	8	13.31	hand	high	true	false	true
3	79	94	43.2	30.31	9.66	12.26	1067.7605435963	8	21.65	hand	low	true	false	true
37	61	65	39.14	55.84	10.76	18.31	4794.855745064	9	17.21	hand	moderate	true	false	false
37	57	76	40.53	64.06	9.29	10.49	3759.2979741781	5	16.04	hand	high	false	false	false
46	-7	8	36.21	73.5	9.88	10.74	5616.8152255916	11	25.48	machines	low	false	false	false
34	21	26	41.1	46.67	8.04	15.23	1022.8800072537	12	28.01	hand	high	true	true	false
5	-20	-5	32.2	56.86	10.31	18.03	2702.3042478995	5	6.76	machines	moderate	true	false	true
10	71	90	30.66	66.03	6.42	7.52	1131.701933613	9	27.47	hand	moderate	false	true	false
33	13	32	38.07	63.93	8.5	12.39	136.848665768	11	8.03	machines	moderate	false	false	false
34	-17	-3	42.42	54.27	9.2	13.49	84.0326206017	11	14.45	hand	high	false	true	true
20	81	87	37.38	59.59	11.12	8.65	17351.6794445463	5	26.86	hand	high	true	true	true
10	80	82	30.25	46.68	9.17	6.64	8118.061276502	8	15.79	hand	high	false	false	false
23	31	44	38.1	45.83	12.96	13.56	2161.6567562297	10	12.52	hand	low	false	false	true
52	40	53	34.41	40.21	11.42	8.57	16549.7743581424	12	18.16	hand	low	false	true	false
3	-4	16	35.46	47.47	6.61	10.72	574.7802518138	12	15.22	machines	high	true	false	false
7	-17	3	36.67	10.66	10.28	7.19	1590.1469560869	6	26.11	hand	moderate	false	false	true
44	109	116	37.76	85.71	10.61	9.22	7714.0587086213	9	13.04	hand	low	true	true	true
38	33	48	33.67	39.41	10.12	13.87	736.6639549655	8	24.12	hand	low	false	false	true
26	76	93	45.36	63.34	10.67	6.77	13315.2044751271	7	25.56	machines	low	true	true	false
12	88	102	29.47	88.7	9.67	12.56	5230.7006177215	7	18.93	machines	moderate	true	true	true
35	17	31	40.8	71.0	14.34	6.66	247.0036811525	7	20.18	hand	low	false	true	false
10	52	62	34.25	30.19	10.77	6.53	6552.2906892653	11	25.16	hand	moderate	false	true	true
35	72	83	43.89	35.93	7.03	18.46	6947.4936450157	13	9.49	hand	moderate	false	false	true
35	49	60	41.26	29.29	8.24	9.04	3332.732078418	8	18.21	machines	low	true	false	true
24	96	101	33.4	48.94	8.37	16.96	4850.4573717489	7	23.26	machines	low	true	true	true
45	4	13	52.42	69.08	8.68	9.57	842.1730289869	13	14.42	hand	high	true	false	true
52	82	93	34.76	61.84	9.06	12.33	777.4084598246	10	21.74	machines	low	true	true	true
34	48	62	40.64	35.54	8.94	14.21	2830.8515241434	8	15.73	hand	high	true	false	false
25	47	54	46.32	41.05	10.87	8.62	3044.5102901935	20	27.46	hand	high	true	true	true
48	39	47	33.74	51.89	10.12	12.75	5626.7781516385	10	29.57	machines	high	true	true	false
24	62	75	36.23	50.03	7.22	13.16	683.8447763556	15	20.51	machines	low	true	true	true
31	67	87	39.2	30.29	8.58	10.71	2449.2170084429	13	21.0	machines	high	false	false	true
48	106	110	28.37	33.92	8.43	11.43	147.5579078969	5	23.77	hand	moderate	false	false	true
